WineName,Price,CountryState,Region,ProductType,VarietalType,Description
Neethlingshof The Caracal Red,$19.99,South Africa,Western Cape,Red Wine,Bordeaux Blend,Stellenbosch South Africa- Plum blackcurrant and cherry aromas with hints of oak cedar and vanilla lead to a full-bodied muscular and smooth wine with plum and black fruit flavors that give way to firm but supple tannins. Enjoy with grilled meats stews or rich cheeses. (Intense Plum Black Currant  Full-bodied )
Cloud Break Red Blend Black Cloud,$9.99,California,,Red Wine,Red Blend,California- Inky on the glass and satiny on the palate this concentrated Red Blend shows cherry and dark fruit notes complemented with a soft touch of oak on the finish. Pair this full-bodied wine with grilled meats or BBQ. (Concentrated Cherry Berry  Full-bodied )
Dreaming Tree Crush Red Blend,$10.97,California,Central Coast,Red Wine,Red Blend,North Coast CA- A blend of the North Coasts finest varieties this wine has some great caramel oak and mixed berry characters on the nose juicy raspberry flavors and approachable tannins. ()
Silver Palm Cabernet Sauvignon,$14.99,California,North Coast,Red Wine,Cabernet Sauvignon,North Coast CA- Fragrant aromas of sweet cherries and cassis. The wine is medium-bodied with flavors of blackberries cigar box and spicy oak. The firm tannins provide some nice grip upfront but then gradually dissipate into a smooth silky finish. ()
Sonoma Loeb Pinot Noir Dutton Ranch Russian River Valley 2014,$39.99,California,Sonoma County,Red Wine,Pinot Noir,Wine Spectator-Russian River Valley Sonoma CA- Slow to build with lighter plum wilted rose and black cherry flavors giving way to chewy gravelly tannins that impart traction and detail. Solid length. (Elegant Cherry Spice  Medium-bodied )
Bend Merlot,$6.99,California,,Red Wine,Merlot,California- Cherry and raspberry flavors lead to a lucious smooth finish. From the makers of Iter this wine is a treat! Perfect for a casual gathering or with roasted meats. (Fresh Cherry Raspberry  Medium-bodied )
Yellow Tail Cabernet,$8.57,Australia,,Red Wine,Cabernet Sauvignon,Australia- The most popular wine in America lush fresh fruit greets the drinker through an opulent bouquet of black cherries and chocolate. These flavors persist through the palate with a hint of mocha and cinnamon. Perfect for entertaining. (Fresh Cherry Chocolate Mocha  Medium-bodied )
No Curfew Pinot Noir,$15.99,California,,Red Wine,Pinot Noir,California - Aromas laced with crushed cherry ripe strawberry and spice. The initial mouth feel is lush and leads into a mid palate with excellent structure and balanced acidity. Deep red fruits dominate the clean and long finish. (Fresh Cherry Strawberry  Medium-bodied )
Bogle Pinot Noir California,$8.97,California,Sonoma County,Red Wine,Pinot Noir,California- This Pinot Noir from Bogle represents some of the best varietal growing regions our state has to offer. Fruit from the cool confines of the Russian River Valley from the coastal hills of Monterey and from the unique Clarksburg Delta combine to create a garnet-colored wine. ()
Radius Red Blend Eclipse,$10.99,California,,Red Wine,Red Blend,California- A darker version of our best-selling Red Blend the Radius Red Eclipse possesses juicy flavors of dark fruits berries maple vanilla and hints of baking spices. The lush flavorful finish is velvety smooth. (Concentrated Dark Berry Molasses  Medium-bodied )
Running with Scissors Merlot,$9.99,California,Central Coast,Red Wine,Merlot,Central Coast CA- Mom always said dont run with scissors. This lush Red features big berry flavors mild tannins and complex aromas of plum spice and cherry. An expansive finish of cassis and raspberry rounds out this delicious Merlot. Pairs with duck chicken and pork dishes. (Fresh Plum Berry  Medium-bodied )
La Crema Pinot Noir Monterey,$19.97,California,Monterey,Red Wine,Pinot Noir,Monterey Central Coast CA- Offers up vibrant red cherry spice and coffee aromas that lead to rich brambly fruit flavors. This medium bodied Pinot Noir finishes soft with a supple mouthfeel. ()
Dagger Leaf Pinot Noir Willamette Valley,$17.99,Oregon,Willamette Valley,Red Wine,Pinot Noir,Willamette Valley Oregon - Aromas of red berry vanilla cream cedar and light spice deliver a vibrant palate with notes of red berry fruit raspberry with a soft lingering finish. Medium in body this pairs beautifully with mushroom risotto or roasted meats. (Elegant Red Berry Vanilla Spice  Medium-bodied )
Justin Isosceles 2013,$69.97,California,Central Coast,Red Wine,Cabernet Sauvignon,Wine Enthusiast -California - ...it still impresses with its elegantly woven tobacco leather cocoa blueberry and caramel aromas. It hits the palate softly showing black cherry baking spice milk chocolate and faint mint notes ending in a finish that reveals a firm tannic structure. (Elegant Currant Cedar Cherry  Full-bodied )
Hunted Zinfandel Lodi,$13.99,California,Lodi,Red Wine,Zinfandel,Lodi CA- A full throttle no holds barred Zinfandel with loads of jammy fruit and hints of black pepper and exotic spices. A long finish with ripe fruit and a hint of chocolate. A perfect pairing with grilled meats and BBQ. (Concentrated Jam Pepper Spice  Full-bodied )
Michael David Red Blend Freakshow 2014,$15.99,California,,Red Wine,Red Blend,Wine Enthusiast -California - Dark dense with fruit flavor and thickly tannic this full-bodied wine is a monument to concentration ripeness and richness. Massice tannins are matched up by huge jammy fruit with a sense of layering and depth that is impressive and satisfying to experience. ()
OZV Zinfandel Lodi,$12.99,California,Lodi,Red Wine,Zinfandel,Lodi CA- This wine gets its personality from the 50 to 100 year old vines where the grapes are grown from. Flavors of sweet cherries blackberries and earthy spice. Jammy and robust through the long finish. (Concentrated Blackberry Spice  Medium-bodied )
B Lovely Red,$12.49,Washington,,Red Wine,Red Blend,Washington- The perfect choice if you are looking for a juicy sweet red wine that is elegant enough to take as a gift. This light-bodied wine full of cherry and berry flavors and made mostly with Merlot grapes pairs nicely with food especially spicy cuisine. (Sweet Juicy Cherry Berry  Light-bodied )
Ravenswood Vintners Zinfandel,$6.97,California,,Red Wine,Zinfandel,California- A reliable blend this offers bright cherry and berry flavors. Silky this Zinfandel is not to heavy and can be enjoyed by itself or will pair very well with burgers. (Fresh Berry  Medium-bodied )
Flichman Malbec Misterio Reserva,$10.99,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina - Blending handpicked grapes from Valle de Uco and Maipu this Malbec Reserva displays concentrated flavors of blackberries and ripe plums with a combination of violets and cherries. Oak aging gives this wine a long complex finish with remarkable sweet tannins. (Concentrated Blackberry Plum  Full-bodied )
Luc Pirlet Cabernet Sauvignon,$9.99,France,Languedoc,Red Wine,Cabernet Sauvignon,Languedoc France- What a value! Milk chocolate and dark cherries abound with ripe tannins and integrated oak and spice flavors. The finish is pure velvet and lingers on for quite a long time. An elegant wine with nicely balanced tannins. Great for pot roast or grilled flank steak. (Elegant Cherry Chocolate Oak  Medium-bodied )
Martin Ray Cabernet Sauvignon Sonoma,$19.99,California,,Red Wine,Cabernet Sauvignon,Sonoma County CA- Ripe cassis exotic spice and blackberry fruit softened with nuances of vanilla oak are featured in this winning Cab. It is appealing for its overall balance sense of elegance and smooth finish. (Elegant Cassis Blackberry  Medium-bodied )
Ropiteau Pinot Noir,$9.99,France,,Red Wine,Pinot Noir,Vin de France France- Established in 1848 Ropiteau Freres has a long history of making great Pinot Noir. This super value is proof positive. Bright cherry and berry fruit is complemented by earth tones and a smooth soft finish. Excellent with a lamb stew. (Fresh Cherry Red Fruit  Light-bodied )
River Road Pinot Noir,$16.99,California,,Red Wine,Pinot Noir,California- This Pinot Noir made by winemaker Joe Freeman has a wonderful balance of finesse and bright harmonious notes of cherry wild berry plum and spice. Shows depth and complexity in the long finish. The perfect red wine with salmon. (Elegant Cherry Plum  Medium-bodied )
Beringer Founders Cabernet,$6.77,California,,Red Wine,Cabernet Sauvignon,California- Soft round flavors and rich fruit characters are enhanced by oak undertones from aging in small French and American barrels. Accessible tannins provide structure and backbone to the vivid berry profile. ()
Crimson Ranch Red Blend,$12.99,California,,Red Wine,Red Blend,California- A luscious red blend that possesses flavors of red berries cherries cocoa and hints of chocolate. Medium in body with a richly textured mouthfeel it finishes soft and round. Crafted by The Michael Mondavi Family. (Concentrated Red Plum Cocoa  Medium-bodied )
Chateau Bellevue Bordeaux,$10.99,France,Bordeaux,Red Wine,Bordeaux Blend,Bordeaux France- Rich red fruit flows on and on in this charming little wine. The ripe tannins make it a great wine to bring home for dinner. A harmonious blend of 65% Merlot 25% Cabernet Sauvignon and 10% Cabernet Franc vines that are over 20 years old. (Fresh Cherry Red Fruit  Light-bodied )
Chateau Leoville Las Cases St Julien 2015,$229.99,France,Bordeaux,Red Wine,Bordeaux Blend,Wine Enthusiast -St. Julien Bordeaux France - This wine that comes mainly from a magnificent walled vineyard within sight of the Gironde estuary is structured and dense. Its tannins and firm character show its enormous aging potential. Powerful black fruits come from the 85% Cabernet Sauvignon. (Concentrated Plum Blueberry Wood  Full-bodied )
Olema Cabernet Sauvignon Sonoma County 2016,$23.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,James Suckling-Sonoma County CA- Lots of black currant and blackberry aromas with hints of wet earth and spice cake. Medium body with a solid center palate of ripe fruit and fine tannins. Soft and silky. (Intense Blackberry Cherry  Full-bodied )
J Lohr Merlot Los Osos,$12.99,California,Central Coast,Red Wine,Merlot,Paso Robles Central Coast CA- Dominated by fresh blueberry and boysenberry fruit and layered with vanilla oak this tasty Merlot finishes with a lingering hint of cherry and spice. Harvested from the families estate vineyards and aged 16 months in oak. (Intense Berry Cherry Spice  Medium-bodied )
Amici Cabernet Spring Mountain 2014,$129.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,James Suckling-Spring Mountain District Napa CA - Aromas of currants flowers and blackberries. Walnut undertones. Full body and chewy tannins. Love the chocolate and berry aftertaste. Needs time to soften. (Elegant Clove Raspberry Olive  Full-bodied )
Wente Cabernet Sauvignon Southern Hills,$11.99,California,,Red Wine,Cabernet Sauvignon,California- The complexity in this bottle is due to the grapes being developed from those in the famed Margaux and Medoc regions of Bordeaux. Having ample tannins and good acidity coupled with ripe fruit makes this bottle pretty impressive at a great price. (Concentrated Red Fruit Currant Spice  Medium-bodied )
Cline Zinfandel Ancient Vines,$9.97,California,,Red Wine,Zinfandel,California- The Ancient Vines Zinfandel shows wonderful dusty raspberry blackberry white pepper and spice with coffee and chocolate characters. Aging in new and used wood has lent this wine a subtle vanilla quality that nicely complements the explosive fruit notes. ()
Saldo Zinfandel,$27.99,California,,Red Wine,Zinfandel,Napa Valley CA- Dark ruby color with bold aromas of black licorice black pepper cherry and baking spice. The entry is rich full and scintillating. The palate is mouthwatering and smooth with a hint of chocolate. The finish is voluptuous with soft velvety tannins. (Intense Cherry Chocolate Spice  Full-bodied )
Gnarly Head Old Vine Zinfandel,$7.27,California,,Red Wine,Zinfandel,California- Crafted from grapes from 35 to 80 year old vines. Rich dark berry flavors from the small grape clusters are balanced with French American and Hungarian oak. Luscious layers of plum pepper and chocolate provide a lingering and spicy finish. ()
Carlo Rossi Paisano,$11.99,California,,Red Wine,Red Blend,A clean easy-to-enjoy style and crisp raspberry taste. Smooth semi-dry red wine. ()
California Square Red,$14.99,California,Central Coast,Red Wine,Red Blend,California- This delightfully smooth and decadent red from winemaker Ginny Lambrix boasts flavors of ripe blueberries vanilla oak and blackberries. Wonderfully drinkable now this wine is a blend of Petite Sirah Syrah Sangiovese Zinfandel and Merlot. (Intense Blueberry Blackberry  Medium-bodied )
